epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,train/structure_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/normalized_MRE(P),metrics/PCK@1%(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,val/structure_loss,lr/pg0,lr/pg1,lr/pg2
32,4222.65,0.30065,0.12356,0.00313,0.09519,0.00717,0,0.00338,0.99973,0.99115,0.99495,0.90599,0.99641,0.98728,0.99252,0.9863,0.34977,0.97642,0.39242,0.12986,0.00076,0.12336,0.00845,0,0.00361,0.00034655,0.00034655,0.00034655
33,4271.62,0.28895,0.13735,0.00479,0.09172,0.00703,0,0.00332,0.99739,0.99089,0.995,0.92135,0.99132,0.9849,0.98807,0.98525,0.3512,0.9765,0.35819,0.14701,0.00048,0.1144,0.00767,0,0.00348,0.0003416,0.0003416,0.0003416
34,4323.17,0.28043,0.09272,0.00331,0.09387,0.00676,0,0.00317,0.99735,0.9965,0.99497,0.91621,0.99285,0.99201,0.99219,0.98725,0.31753,0.98063,0.36773,0.11363,0.00038,0.11718,0.00778,0,0.00336,0.00033665,0.00033665,0.00033665
35,4374.64,0.27332,0.10257,0.00291,0.08937,0.00656,0,0.00318,0.99415,0.9995,0.99498,0.93108,0.98968,0.99501,0.99347,0.98814,0.31973,0.98258,0.32002,0.11424,0.00053,0.1027,0.00693,0,0.00335,0.0003317,0.0003317,0.0003317
36,4426.63,0.26981,0.07607,0.00153,0.08713,0.00641,0,0.00316,0.99706,0.99762,0.99498,0.93543,0.98758,0.98814,0.98833,0.98436,0.34455,0.97935,0.31334,0.1462,0.00039,0.09917,0.00683,0,0.00343,0.00032675,0.00032675,0.00032675
37,4477.16,0.27044,0.07476,0.00167,0.08601,0.00642,0,0.00309,0.99751,0.9995,0.99498,0.92204,0.99054,0.99251,0.98705,0.98427,0.3379,0.98063,0.35498,0.12887,0.00048,0.10687,0.00759,0,0.00336,0.0003218,0.0003218,0.0003218
38,4528.6,0.26907,0.10053,0.00271,0.0924,0.00646,0,0.00313,0.99701,0.998,0.995,0.93267,0.98743,0.98881,0.99267,0.98851,0.34484,0.97935,0.34409,0.13898,0.00039,0.10766,0.00735,0,0.00335,0.00031685,0.00031685,0.00031685
39,4577.24,0.2703,0.10142,0.00209,0.08313,0.00645,0,0.00307,0.99721,0.9889,0.99488,0.92866,0.99369,0.9854,0.99308,0.98856,0.31305,0.98251,0.3266,0.10761,0.00033,0.10624,0.00696,0,0.00328,0.0003119,0.0003119,0.0003119
40,4628.53,0.27228,0.12257,0.00325,0.08641,0.00655,0,0.0032,0.9954,0.999,0.99498,0.94612,0.98694,0.9905,0.98736,0.98418,0.35156,0.97778,0.29761,0.12758,0.00036,0.0979,0.00642,0,0.00338,0.00030695,0.00030695,0.00030695
41,4677.36,0.25913,0.07981,0.00163,0.08509,0.00617,0,0.00325,0.99673,0.99785,0.995,0.93849,0.98867,0.99299,0.98797,0.98532,0.34478,0.97785,0.31242,0.13127,0.00036,0.09831,0.00672,0,0.0034,0.000302,0.000302,0.000302
42,4727.55,0.2779,0.10719,0.00198,0.09059,0.00667,0,0.00316,0.99883,0.9994,0.995,0.94571,0.99184,0.9924,0.9936,0.98947,0.3273,0.9804,0.30199,0.11438,0.00036,0.09506,0.00646,0,0.00334,0.00029705,0.00029705,0.00029705
43,4777.03,0.25077,0.0686,0.00091,0.07871,0.00592,0,0.00303,0.99502,0.99962,0.99498,0.93322,0.98805,0.99266,0.9911,0.98572,0.33029,0.98085,0.31898,0.11163,0.00025,0.10561,0.0068,0,0.00327,0.0002921,0.0002921,0.0002921
44,4828.71,0.2658,0.0741,0.00264,0.0836,0.00633,0,0.00305,0.99965,0.99448,0.995,0.95571,0.99262,0.9875,0.98778,0.98591,0.46525,0.98206,0.27609,0.12821,0.00027,0.09459,0.00596,0,0.0033,0.00028715,0.00028715,0.00028715
45,4879.51,0.25513,0.08167,0.00399,0.08462,0.0061,0,0.003,0.99911,0.99998,0.995,0.9519,0.99211,0.99299,0.99281,0.98866,0.31296,0.98386,0.28405,0.10814,0.00033,0.0908,0.00606,0,0.00325,0.0002822,0.0002822,0.0002822
46,4931.98,0.25373,0.06299,0.00112,0.07897,0.00601,0,0.00294,0.99978,1,0.995,0.9339,0.99037,0.9905,0.99168,0.98682,0.32486,0.98093,0.31831,0.13744,0.00019,0.09417,0.00681,0,0.00323,0.00027725,0.00027725,0.00027725
47,4982.52,0.24195,0.06391,0.00328,0.0809,0.00576,0,0.00291,0.99808,0.9975,0.995,0.94885,0.99107,0.9905,0.99313,0.98826,0.30951,0.98468,0.29258,0.10591,0.00023,0.09385,0.00623,0,0.00318,0.0002723,0.0002723,0.0002723
48,5035.03,0.24134,0.06241,0.00154,0.07616,0.00577,0,0.00292,0.99642,0.99609,0.995,0.93556,0.98944,0.98909,0.9918,0.98645,0.31288,0.98386,0.30852,0.12176,0.00017,0.09901,0.00665,0,0.00321,0.00026735,0.00026735,0.00026735
49,5085.18,0.24967,0.08065,0.0025,0.0866,0.00597,0,0.00294,0.99878,0.99825,0.995,0.93673,0.99203,0.99435,0.99232,0.98857,0.30824,0.98363,0.31287,0.10461,0.00016,0.09894,0.00671,0,0.00315,0.0002624,0.0002624,0.0002624
50,5136.18,0.24201,0.06271,0.00229,0.0795,0.0058,0,0.00294,0.99634,0.99708,0.995,0.94882,0.99185,0.99258,0.99354,0.98982,0.29976,0.98558,0.29499,0.10572,0.00022,0.0972,0.00636,0,0.00325,0.00025745,0.00025745,0.00025745
51,5186.91,0.23674,0.07787,0.00167,0.07813,0.00563,0,0.00298,0.99615,0.9955,0.99497,0.94235,0.99265,0.99201,0.99272,0.98811,0.3093,0.98288,0.30388,0.10314,0.00026,0.10092,0.00651,0,0.00319,0.0002525,0.0002525,0.0002525
